Abogado/a,lawyer
Actor/Actriz,actor
Administrativo/a,office clerk
Agente de viajes,travel agent
Albañil/a,bricklayer
Amo de casa/Ama de casa,housewife
Apicultor/a,beekeeper
Árbitro/a,referee
Arqueólogo/a,archaeologist
Arquitecto/a,architect
Artista,artist
Asesor/a,consultant
Astronauta,astronaut
Astrónomo/a,astronomer
Atleta,athlete
Azafato/a,stewardess
Bailarín/bailarina,dancer
Banquero/a,banker
Barrendero/a,street cleaner
Basurero/a,dustman
Bibliotecario/a,librarian
Biólogo/a,biologist
Bombero/a,firefighter
Botones,bellboy
Cajero/a,cashier
Camarero/a,waiter
Camionero/a,truck driver
Cantante,singer
Carnicero/a,butcher
Carpintero/a,carpenter
Cartero/a,mailman
Chófer,chauffeur
Científico/a,scientist
Cirujano/a,surgeon
Cocinero/a,cook
Compositor/a,composer
Conductor de autobús,bus driver
Conserje,porter
Cónsul,consul
Contable,accountant
Corresponsal,correspondent
Cuidador/a,Caretaker
Cura,priest
Decorador/a,decorator
Dentista,dentist
Dependiente de una tienda,shop assistant
Deportista,sportsman
Detective,detective
Diseñador/a,designer
Ebanista,cabinetmaker
Economista,economist
Electricista,electrician
Empresario/a,businessman
Enfermero/a,nurse
Escritor/a,writer
Esquiador/a,skier
Estanquero/a,tobacconist
Esteticista,beautician
Estilista,stylist
Farmacéutico/a,pharmacist
Fiscal/a,prosecutor
Físico/a,physicist
Fisioterapeuta,physiotherapist
Florista,florist
Fontanero/a,plumber
Forense,forensic
Fotógrafo/a,photographer
Frutero/a,fruiterer
Futbolista,footballer
Geólogo/a,geologist
Ginecólogo/a,gynecologist
Granjero/a,farmer
Ingeniero/a,engineer
Inspector/a,inspector
Investigador/a,researcher
Jardinero/a,gardener
chef,chef
Joyero/a,jeweller
Juez/a,judge
Limpiador/a,cleaner
Limpiacristales,window cleaner
Locutor de radio,radio presenter
Logopeda,speech therapist
Mago/a,magician
Marinero/a,sailor
Matemático/a,mathematician
Matrona,matron
Mecánico/a,mechanic
Médico/a,doctor
Meteorólogo/a,meteorologist
Minero/a,miner
Modelo,model
Modisto/a,dressmaker
Monja,nun
Monje,monk
Músico,musician
Neurólogo/a,neurologist
Niñero/a,nursemaid
Notario/a,notary
Panadero/a,baker
Pastelero/a,baker
Payaso/a,clown
Pediatra,pediatrician
Peluquero/a,hairdresser
Periodista,Journalist
Pescadero/a,Fishmonger
Pianista,pianist
Piloto/a,pilot
Pintor/a,painter
Podólogo/a,chiropodist
Poeta/Poetisa,poet
Policía,policeman
Político/a,politician
Portero/a,doorman
Presentador de televisión,TV presenter
Procurador/a,attorney
Profesor/a,teacher
Programador/a,programmer
Psicólogo/a,psychologist
Psiquiatra,psychiatrist
Químico/a,chemist
Recepcionista,receptionist
Relojero/a,watchmaker
Repartidor/a,delivery man
Sacerdote/Sacerdotisa,priest
Sastre/a,Tailor
Secretario/a,secretary
Socorrista,life guard
Soldado,soldier
Sumiller,sommelier
Taxista,taxi driver
Telefonista,telephone operator
Tenista,tennis player
Torero/a,bullfighter
Trabajador/a social,social worker
Traductor/a,translator
Vendedor/a,salesman
Veterinario/a,veterinarian
Guardia de seguridad,security guard
Zapatero/a,shoemaker
